en,ro,description,file,hash
Default low-stock threshold,Prag implicit de stoc redus,,site/modules/Mercato/src/MercatoConfigInputfields.php,2eb8c2ac0ea4aad04b7da2de3a2c6c10
Default product tax rate (%),Cotă de taxă implicită a produsului (%),,site/modules/Mercato/src/MercatoConfigInputfields.php,a2d0dcd05d830e3170a66c6804d70792
Delivery regions by country,Regiuni de livrare pe țară,,site/modules/Mercato/src/MercatoConfigInputfields.php,f157e0d40152b2f813078871d4f7e76d
"Disable this when your site theme already provides Tailwind, Bootstrap, or UIkit.","Dezactivați această opțiune când tema site-ului dvs. oferă deja Tailwind, Bootstrap sau UIkit.",,site/modules/Mercato/src/MercatoConfigInputfields.php,17a018935bfb3575d1b919bc2dc29ee9
Draft order retention,Reținere comenzi ciornă,,site/modules/Mercato/src/MercatoConfigInputfields.php,a5b2fe0e35c054cd3b7c3931c80fd382
Email Notifications,Notificări prin E-mail,,site/modules/Mercato/src/MercatoConfigInputfields.php,3caac88fd2cfb66b30bf5c3bb963e2ae
Enable automated recovery emails,Activează e-mailurile de recuperare automatizate,,site/modules/Mercato/src/MercatoConfigInputfields.php,959eadf90d3e8c1e6467b3dcc46a18bd
"Enable customer-facing payment methods in the Mollie Dashboard. Mollie Checkout will show only methods available for the merchant profile, currency, amount, and shopper country.","Activați metodele de plată vizibile clienților în Mollie Dashboard. Mollie Checkout va afișa doar metodele disponibile pentru profilul comerciantului, monedă, sumă și țara cumpărătorului.",,site/modules/Mercato/src/MercatoConfigInputfields.php,e08693c164cfb8a0e8e940989b7b04fa
"Enable only if you want Mercato to replace mrc-order.php, mrc-orders.php, mrc-products.php, mrc-product.php, mrc-checkout.php, and mrc-success.php in /site/templates/. This can overwrite manual edits.","Activați doar dacă doriți ca Mercato să înlocuiască mrc-order.php, mrc-orders.php, mrc-products.php, mrc-product.php, mrc-checkout.php și mrc-success.php în /site/templates/. Acest lucru poate suprascrie editările manuale.",,site/modules/Mercato/src/MercatoConfigInputfields.php,3ca2aa2d8e6e2898c636c1fb1566c645
Enabled payment methods,Metode de plată activate,,site/modules/Mercato/src/MercatoConfigInputfields.php,5b640a119f4a8811e835e207d07beae3
"For Mollie, no signing secret is stored here. The webhook POST contains a payment id; Mercato verifies it by fetching the payment through the Mollie API.","Pentru Mollie, niciun secret de semnare nu este stocat aici. POST-ul webhook-ului conține un id de plată; Mercato îl verifică preluând plata prin API-ul Mollie.",,site/modules/Mercato/src/MercatoConfigInputfields.php,fdb0af36bda5d509044f75c5cc569432
"For subscription self-service links, configure Stripe Billing → Customer portal in the Stripe Dashboard.","Pentru linkuri de auto-servire a abonamentelor, configurați Stripe Billing → Customer portal în Stripe Dashboard.",,site/modules/Mercato/src/MercatoConfigInputfields.php,da0e82ab088ffa58c4038c093cd5953e
Free shipping threshold,Prag pentru transport gratuit,,site/modules/Mercato/src/MercatoConfigInputfields.php,5f2ab464876341df7ff085560b1dc9e2
Frontend framework,Framework frontend,,site/modules/Mercato/src/MercatoConfigInputfields.php,c887185c6013adddafbfdf72db7b6822
Fulfilment Methods,Metode de Onorare,,site/modules/Mercato/src/MercatoConfigInputfields.php,adf17ec958948e1e7f038cdb844a4775
General Settings,Setări Generale,,site/modules/Mercato/src/MercatoConfigInputfields.php,52f4393e1b52ba63e27310ca92ba098c
GET opens a diagnostic response. Mollie will POST payment status updates to this URL.,GET deschide un răspuns de diagnosticare. Mollie va trimite prin POST actualizări ale stării plății către acest URL.,,site/modules/Mercato/src/MercatoConfigInputfields.php,ee862080965ba294771291064004ee86
GET opens a diagnostic response. PayPal will POST signed webhook events to this URL.,GET deschide un răspuns de diagnosticare. PayPal va trimite prin POST evenimente webhook semnate către acest URL.,,site/modules/Mercato/src/MercatoConfigInputfields.php,b2e3d0fee362d39db5946fac48749aa4
GET opens a diagnostic response. Stripe must POST signed webhook events to this URL.,GET deschide un răspuns de diagnosticare. Stripe trebuie să trimită prin POST evenimente webhook semnate către acest URL.,,site/modules/Mercato/src/MercatoConfigInputfields.php,aee1d8133cca197f685a9236872a51b5
How long pending checkout orders reserve stock before payment confirmation. Range: 1-1440 minutes.,Cât timp comenzile de checkout în așteptare rezervă stocul înainte de confirmarea plății. Interval: 1-1440 minute.,,site/modules/Mercato/src/MercatoConfigInputfields.php,f530496520cccf86a91e136f8f755576
How many days abandoned cart/session policy should retain cart context. Range: 1-3650 days. This setting documents policy; it does not delete paid orders.,Câte zile ar trebui să rețină politica de coș/sesiune abandonată contextul coșului. Interval: 1-3650 zile. Această setare documentează politica; nu șterge comenzile plătite.,,site/modules/Mercato/src/MercatoConfigInputfields.php,8cf6327356c3abeccf9dd017e9e6e5fa
How many days redacted webhook/event payload context should remain available for diagnostics. Range: 1-3650 days.,"Câte zile ar trebui să rămână disponibil, pentru diagnosticare, contextul redactat al payload-ului de webhook/eveniment. Interval: 1-3650 zile.",,site/modules/Mercato/src/MercatoConfigInputfields.php,253bfff80bdd009fa41ef992b5e521bb
How many days unpaid draft/pending order data may remain before manual or LazyCron cleanup. Range: 1-3650 days.,Câte zile pot rămâne datele comenzilor neplătite ciornă/în așteptare înainte de curățarea manuală sau prin LazyCron. Interval: 1-3650 zile.,,site/modules/Mercato/src/MercatoConfigInputfields.php,90c8ce3f9bdec2fa8cdaa23584c24210
How often LazyCron should check abandoned checkout recovery candidates.,Cât de des ar trebui LazyCron să verifice candidații pentru recuperarea checkout-urilor abandonate.,,site/modules/Mercato/src/MercatoConfigInputfields.php,569df70cbeb1067ad6068970b8df3081
Include carrier/local delivery fees in the tax breakdown,Include taxele de livrare prin curier/locală în detalierea taxelor,,site/modules/Mercato/src/MercatoConfigInputfields.php,33a5082568840de0ef74e052d5e37b3e
Install / repair generated assets,Instalează / repară resursele generate,,site/modules/Mercato/src/MercatoConfigInputfields.php,ec861d8401ffe9bf2c8e4a206cc7e1b8
Installer,Program de instalare,,site/modules/Mercato/src/MercatoConfigInputfields.php,d1be377656960ed04f1564da21d80c8d
Invoice prefix,Prefix factură,,site/modules/Mercato/src/MercatoConfigInputfields.php,82c9667c9ef1dc29e479d080eaa998db
Let Stripe show compatible Payment Element methods for Stripe Card checkout.,Permiteți Stripe să afișeze metodele Payment Element compatibile pentru checkout-ul cu Card Stripe.,,site/modules/Mercato/src/MercatoConfigInputfields.php,4401a0673bbbc9898e6ae65d36164ca0
Live API Key (live_...),Cheie API Live (live_...),,site/modules/Mercato/src/MercatoConfigInputfields.php,a1d3f83d9be8208e944dfcd4dc685ec7
Live Client ID,Client ID Live,,site/modules/Mercato/src/MercatoConfigInputfields.php,1087b413bc531d99ee4deb93e280bfed
Live Publishable Key (pk_live_...),Cheie Publicabilă Live (pk_live_...),,site/modules/Mercato/src/MercatoConfigInputfields.php,de598d9a6a44b3c8fffe32bb14e97224
Live Secret,Secret Live,,site/modules/Mercato/src/MercatoConfigInputfields.php,283b4262a252e932f41c6a7eeea8dc15
Live Secret Key (sk_live_...),Cheie Secretă Live (sk_live_...),,site/modules/Mercato/src/MercatoConfigInputfields.php,aa26a33e114eb2adc910b678faf071c3
Live Webhook ID,Webhook ID Live,,site/modules/Mercato/src/MercatoConfigInputfields.php,78531346fe27352f80f09f3fc2686d63
Load CDN assets for the selected frontend framework.,Încarcă resursele CDN pentru framework-ul frontend selectat.,,site/modules/Mercato/src/MercatoConfigInputfields.php,8ac0d8d44a0e7c9f40efa3b09dd57a9c
Local delivery email body,Corp e-mail livrare locală,,site/modules/Mercato/src/MercatoConfigInputfields.php,42f875b83e3575888b372857cd5c077a
Local delivery email subject,Subiect e-mail livrare locală,,site/modules/Mercato/src/MercatoConfigInputfields.php,4c62f798d12edc5eba21903d00227e0c
Local delivery fee,Taxă de livrare locală,,site/modules/Mercato/src/MercatoConfigInputfields.php,9cfed83392cff8ccad48215339b64855
Local delivery instructions,Instrucțiuni de livrare locală,,site/modules/Mercato/src/MercatoConfigInputfields.php,410683d78bdbe21940c75cd0a1e17ba1
Local delivery label,Etichetă livrare locală,,site/modules/Mercato/src/MercatoConfigInputfields.php,7a1890112eec0e9f696530d8cefd9718
Local delivery minimum order,Comandă minimă pentru livrare locală,,site/modules/Mercato/src/MercatoConfigInputfields.php,f0aa7dfe71962a76e411df87e5b4591e
Local postal-code prefixes,Prefixe de cod poștal locale,,site/modules/Mercato/src/MercatoConfigInputfields.php,55934fe43d898f7ffc73d18b97169d03
Maximum payment-link emails per automation run. Range: 1-100.,Numărul maxim de e-mailuri cu link de plată per rulare de automatizare. Interval: 1-100.,,site/modules/Mercato/src/MercatoConfigInputfields.php,ea8337b59371b9762a2eb74f25460e16
Mercato installer failed: ,Instalarea Mercato a eșuat: ,,site/modules/Mercato/src/MercatoConfigInputfields.php,f762aee52bd3e253911b9e5569435358
Mercato installer finished. Template files were %s.,Instalarea Mercato s-a finalizat. Fișierele șablon au fost %s.,,site/modules/Mercato/src/MercatoConfigInputfields.php,e416ece723ce302257c22c361daaec30
"Mercato keeps prices gross; this controls the displayed tax breakdown, not the payable total.","Mercato păstrează prețurile brute; aceasta controlează detalierea taxelor afișată, nu totalul de plată.",,site/modules/Mercato/src/MercatoConfigInputfields.php,843528a5f9651c8ff1cf430e3e4988c0
Mercato sends the webhook URL automatically when it creates each Mollie payment:,Mercato trimite automat URL-ul webhook-ului la crearea fiecărei plăți Mollie:,,site/modules/Mercato/src/MercatoConfigInputfields.php,e4e01b0e0a13c28d4fadf48a8dba3bd2
Mercato test email failed: ,E-mailul de test Mercato a eșuat: ,,site/modules/Mercato/src/MercatoConfigInputfields.php,69439db15742b08a190183c78a0c1ee0
Mercato test email sent to ,E-mail de test Mercato trimis către ,,site/modules/Mercato/src/MercatoConfigInputfields.php,b87e418b22f1d4d3020894d2ddcbc7a8
Mercato verifies real PayPal webhooks with the PayPal verify-webhook-signature API before processing production events.,Mercato verifică webhook-urile reale PayPal cu API-ul verify-webhook-signature al PayPal înainte de a procesa evenimentele de producție.,,site/modules/Mercato/src/MercatoConfigInputfields.php,dfb7129fc2881cad174a089587859a24
Merchant Details,Detalii Comerciant,,site/modules/Mercato/src/MercatoConfigInputfields.php,766c0fb714d9b7fd8a1c1c8ff799deb2
Minimum checkout age,Vechime minimă checkout,,site/modules/Mercato/src/MercatoConfigInputfields.php,061fee424c31b438b6d123c0614e5eb8
Minimum minutes before another recovery payment-link email can be sent for the same unpaid order. Use 0 to disable the cooldown. Range: 0-10080 minutes.,Minute minime înainte ca un alt e-mail cu link de plată de recuperare să poată fi trimis pentru aceeași comandă neplătită. Utilizați 0 pentru a dezactiva perioada de așteptare. Interval: 0-10080 minute.,,site/modules/Mercato/src/MercatoConfigInputfields.php,ec85d62e510078b975bc0d12af442749
"Mollie also calls this payment webhook when a refund reaches processing, failed, or refunded status. Queued or pending refunds can be checked from Order Detail.","Mollie apelează, de asemenea, acest webhook de plată când o rambursare ajunge în starea de procesare, eșuată sau rambursată. Rambursările în coadă sau în așteptare pot fi verificate din Detaliul Comenzii.",,site/modules/Mercato/src/MercatoConfigInputfields.php,616ad811063ed1a93271c6a1d0d52b89
Mollie Settings,Setări Mollie,,site/modules/Mercato/src/MercatoConfigInputfields.php,824f2c1d1c2ee9aecac9977d9347a2ea
Mollie Webhook Endpoint,Endpoint de Webhook Mollie,,site/modules/Mercato/src/MercatoConfigInputfields.php,614dab96b81a1f54bfe4e691a7f133f9
One email per line. These addresses are excluded from manual and automated recovery payment-link emails.,Un e-mail pe linie. Aceste adrese sunt excluse din e-mailurile cu link de plată de recuperare manuale și automatizate.,,site/modules/Mercato/src/MercatoConfigInputfields.php,3c10f1526245ddbca84e189df3dc9922
Only selected methods are shown on checkout and accepted by the payment flow. Demo Payment is always unavailable in production mode.,Doar metodele selectate sunt afișate la checkout și acceptate de fluxul de plată. Plata Demonstrativă este întotdeauna indisponibilă în modul de producție.,,site/modules/Mercato/src/MercatoConfigInputfields.php,a62b7bbc37b77ec3aeee31af1dd0f845
Open Developers → Webhooks → Add endpoint and use this endpoint URL:,Deschideți Developers → Webhooks → Add endpoint și utilizați acest URL de endpoint:,,site/modules/Mercato/src/MercatoConfigInputfields.php,918363d0b47bec7df7f46826a65225b6
Open Mollie Dashboard → Developers → API keys and copy the Test API key and Live API key.,Deschideți Mollie Dashboard → Developers → API keys și copiați Test API key și Live API key.,,site/modules/Mercato/src/MercatoConfigInputfields.php,fa58a8aa797f3a0512addd4d94341f41
Open PayPal Developer Dashboard → Apps & Credentials and create or select a REST app.,Deschideți PayPal Developer Dashboard → Apps & Credentials și creați sau selectați o aplicație REST.,,site/modules/Mercato/src/MercatoConfigInputfields.php,afc305b47da5edb9a5a09cac7dcee44a
Open Stripe Dashboard → Developers → API keys and copy the Publishable key and Secret key for test/live mode.,Deschideți Stripe Dashboard → Developers → API keys și copiați Publishable key și Secret key pentru modul de test/live.,,site/modules/Mercato/src/MercatoConfigInputfields.php,2f98351adabe4800844064766bb5550c
"Optional checkout region/state list, one per line: US: CA California, US: NY New York, CA: QC Quebec. When a country has entries, checkout requires one of those region codes.","Listă opțională de regiuni/state pentru checkout, una pe linie: US: CA California, US: NY New York, CA: QC Quebec. Când o țară are înregistrări, checkout-ul necesită unul dintre acele coduri de regiune.",,site/modules/Mercato/src/MercatoConfigInputfields.php,b8acaba53692dc47cebf484edbe3fbf4
"Optional coupon code promoted in recovery payment-link emails. Variables: {recovery_discount_code}, {recovery_discount_line}.","Cod de cupon opțional promovat în e-mailurile cu link de plată de recuperare. Variabile: {recovery_discount_code}, {recovery_discount_line}.",,site/modules/Mercato/src/MercatoConfigInputfields.php,be3fa7ecafeba78b4036b0ebf8eeedbb
"Optional external PDF renderer URL. Variables: {order_id}, {invoice}, {token}, {receipt_link}. Leave blank to use printable HTML only.","URL opțional al randerizatorului extern de PDF. Variabile: {order_id}, {invoice}, {token}, {receipt_link}. Lăsați necompletat pentru a utiliza doar HTML imprimabil.",,site/modules/Mercato/src/MercatoConfigInputfields.php,9fc30357d6288a5d6ce56894eea5159b
"Optional ISO-2 country allowlist for carrier and local delivery, e.g. GB, FR, DE. Leave blank to allow all countries.","Listă opțională de țări permise ISO-2 pentru livrarea prin curier și locală, de ex. GB, FR, DE. Lăsați necompletat pentru a permite toate țările.",,site/modules/Mercato/src/MercatoConfigInputfields.php,5eb8bb12303cda35ecd6055520a78f34
"Optional managed checkout time windows, one per line. When configured, checkout shows a select field and rejects values outside this list.","Ferestre orare gestionate opționale pentru checkout, una pe linie. Când sunt configurate, checkout-ul afișează un câmp de selecție și respinge valorile din afara acestei liste.",,site/modules/Mercato/src/MercatoConfigInputfields.php,b85efbae0df4d2906a3a8f3661f9b949
"Optional multiple pickup locations, one per line: Name | Address | Instructions | Hours. When empty, the single pickup location and instructions above are used.","Mai multe locații de ridicare opționale, una pe linie: Nume | Adresă | Instrucțiuni | Program. Când este gol, sunt utilizate locația unică de ridicare și instrucțiunile de mai sus.",,site/modules/Mercato/src/MercatoConfigInputfields.php,ac3bd9acaa0c38ed4d37f17c31dbded5
"Optional PHP template relative to /site/templates/, e.g. mercato-receipt.php. Leave blank to use the built-in printable receipt.","Șablon PHP opțional relativ la /site/templates/, de ex. mercato-receipt.php. Lăsați necompletat pentru a utiliza chitanța imprimabilă încorporată.",,site/modules/Mercato/src/MercatoConfigInputfields.php,a0b6a741d4c12d5051de4b5c977032f4
Optional policy horizon for customer data review. Use 0 to retain until an explicit admin policy/manual cleanup exists. Paid orders are never silently deleted.,Orizont de politică opțional pentru revizuirea datelor clienților. Utilizați 0 pentru a reține până când există o politică administrativă explicită/curățare manuală. Comenzile plătite nu sunt niciodată șterse silențios.,,site/modules/Mercato/src/MercatoConfigInputfields.php,77064f0d075e3d2395b6740f06529355
"Optional prefix for newly issued invoice numbers, e.g. INV-. Existing invoice numbers are preserved.","Prefix opțional pentru numerele de factură nou emise, de ex. INV-. Numerele de factură existente sunt păstrate.",,site/modules/Mercato/src/MercatoConfigInputfields.php,8d84d40e5549a012a7cbdd8feea0de0b
"Optional public pages linked below checkout. Use this for terms, privacy, refund, and shipping policies.","Pagini publice opționale asociate sub checkout. Utilizați aceasta pentru politicile de termeni, confidențialitate, rambursare și livrare.",,site/modules/Mercato/src/MercatoConfigInputfields.php,e1f61d5b576c0309a58b1e56479a9bf3
"Optional seller/legal details shown on printable receipts, e.g. company name, address, registration number, VAT number.","Detalii opționale despre vânzător/legale afișate pe chitanțele imprimabile, de ex. numele companiei, adresa, numărul de înregistrare, numărul de TVA.",,site/modules/Mercato/src/MercatoConfigInputfields.php,c4a52e135848f8ac5650a8e6723b6361
Order confirmation body,Corp confirmare comandă,,site/modules/Mercato/src/MercatoConfigInputfields.php,6619e2036b80df5e29363b5e024935dd
Order confirmation subject,Subiect confirmare comandă,,site/modules/Mercato/src/MercatoConfigInputfields.php,dab24509ddc067e6887c51343879377d
Orders parent page path,Cale pagină principală comenzi,,site/modules/Mercato/src/MercatoConfigInputfields.php,731595ccdbd7364f0757385e50a50e1c
Overwrite existing template files in /site/templates/,Suprascrie fișierele șablon existente în /site/templates/,,site/modules/Mercato/src/MercatoConfigInputfields.php,82481857d82a9e7d198b2533b4b9e869
Page shown after successful payment.,Pagină afișată după o plată reușită.,,site/modules/Mercato/src/MercatoConfigInputfields.php,b422d62bead6237fb8e6450948d043fa
Page used when payment is canceled or the customer goes back.,Pagină utilizată când plata este anulată sau clientul revine.,,site/modules/Mercato/src/MercatoConfigInputfields.php,67140e8976e6f60b8dcfb9dfcd5068ed
"Path relative to root, e.g. ""orders"". This page will hold all order child pages.","Cale relativă la rădăcină, de ex. „orders”. Această pagină va conține toate paginile-copil ale comenzilor.",,site/modules/Mercato/src/MercatoConfigInputfields.php,7a067e7c95fe6b8b721a6e0aba2fa381
Payment link email body,Corp e-mail cu link de plată,,site/modules/Mercato/src/MercatoConfigInputfields.php,25c67bdfce052a2bbe1bb7178cfc07ac
Payment link email subject,Subiect e-mail cu link de plată,,site/modules/Mercato/src/MercatoConfigInputfields.php,686fc4b74cf66683c9c2daa88b1f09c3
PayPal Settings,Setări PayPal,,site/modules/Mercato/src/MercatoConfigInputfields.php,802487810607dad9dc2c5880e2350da6
PayPal Webhook Endpoint,Endpoint de Webhook PayPal,,site/modules/Mercato/src/MercatoConfigInputfields.php,0e75ac14d8281fa402d8bb1ae3880380
Pickup instructions,Instrucțiuni de ridicare,,site/modules/Mercato/src/MercatoConfigInputfields.php,7a99414b79b388d791307e4aea5fb8ab
Pickup label,Etichetă de ridicare,,site/modules/Mercato/src/MercatoConfigInputfields.php,87c2117da74d9f0eb822c0ce6cb016ab
Pickup location,Locație de ridicare,,site/modules/Mercato/src/MercatoConfigInputfields.php,c5b6f491220ee0279697c20f618d3a8b
Pickup locations,Locații de ridicare,,site/modules/Mercato/src/MercatoConfigInputfields.php,41a6ce51c43b6fa0554d6b9b7f2f0e9f
Pickup ready email body,Corp e-mail pregătit pentru ridicare,,site/modules/Mercato/src/MercatoConfigInputfields.php,11e9242945b6b0d428adbddf126dbb64
Pickup ready email subject,Subiect e-mail pregătit pentru ridicare,,site/modules/Mercato/src/MercatoConfigInputfields.php,9bc39e40250e386c6ff94516f6b178a8
"Plain-text message sent when an order is out for local delivery. Variables: {invoice}, {customer}, {fulfilment_details}, {order_status_link}, {policy_links}.","Mesaj în text simplu trimis când o comandă este în curs de livrare locală. Variabile: {invoice}, {customer}, {fulfilment_details}, {order_status_link}, {policy_links}.",,site/modules/Mercato/src/MercatoConfigInputfields.php,3a6bd7fdd11e49de795755bd62611553
